SNR_dB,CE_NMSE_dB,DET_BER_MMSE_init,PREC_SumRate,DEC_BER,LOC_RMSE_m,Trainable_Params
-5,-1.3302,0.03066406,2.1121,0.04034288,19.2092,34890586
0,-6.2096,0.00789931,3.1121,0.01746962,16.0177,34890586
5,-10.8547,0.00125868,3.6396,0.00967882,14.2247,34890586
10,-14.1068,0.00010851,3.8674,0.00677083,13.955,34890586
15,-15.6505,2.17e-05,3.9442,0.00607639,13.8053,34890586
20,-20.0172,0.0,3.977,0.00536024,13.6484,34890586
25,-23.8308,0.0,3.9837,0.00553385,13.6237,34890586
