SNR_dB,CE_NMSE_dB,DET_BER_MMSE_init,PREC_SumRate,DEC_BER,LOC_RMSE_m,Trainable_Params
-5,-1.1399,0.03081597,2.4174,0.04442274,17.7807,8640789
0,-5.6688,0.0078125,3.6626,0.02072483,14.6574,8640789
5,-8.921,0.00121528,4.4039,0.0141059,12.7788,8640789
10,-10.0736,0.00013021,4.7388,0.01134983,12.3373,8640789
15,-10.5294,2.17e-05,4.8556,0.01056858,12.4639,8640789
20,-11.4496,0.0,4.8997,0.01048177,12.2737,8640789
25,-11.866,0.0,4.915,0.01039497,12.2687,8640789
