SNR_dB,CE_NMSE_dB,DET_BER,DET_SER,PREC_SumRate,DEC_BER,LOC_RMSE_m,Trainable_Params
-5,-8.0776,0.0309,0.061,2.2218,0.0397,19.279,35087450
0,-12.5772,0.008,0.0158,3.2544,0.0164,16.1612,35087450
5,-16.3599,0.0012,0.0023,3.7544,0.0092,14.6669,35087450
10,-16.8615,0.0001,0.0002,3.9692,0.0068,14.4516,35087450
15,-15.9306,0.0,0.0,4.0416,0.0059,14.267,35087450
20,-20.1141,0.0,0.0,4.0571,0.0055,14.232,35087450
25,-23.9522,0.0,0.0,4.0714,0.0056,14.2031,35087450
