SNR_dB,CE_NMSE_dB,DET_BER,DET_SER,PREC_SumRate,DEC_BER,LOC_RMSE_m,Trainable_Params
-5,N/A,N/A,N/A,26.2118,N/A,N/A,0
0,N/A,N/A,N/A,37.9966,N/A,N/A,0
5,N/A,N/A,N/A,50.6739,N/A,N/A,0
10,N/A,N/A,N/A,63.7395,N/A,N/A,0
15,N/A,N/A,N/A,76.949,N/A,N/A,0
20,N/A,N/A,N/A,90.2002,N/A,N/A,0
25,N/A,N/A,N/A,103.442,N/A,N/A,0
