SNR_dB,num_test_samples,num_users,bits_per_sample,total_bits_compared,num_bit_errors,DET_BER,num_sym_errors,DET_SER
20.0,45,8,1024,46080,0,0.00000000,0,0.00000000
25.0,45,8,1024,46080,0,0.00000000,0,0.00000000
