Coordinate,Pred_Min_m,Pred_Max_m,Pred_Mean_m,Pred_Std_m,True_Min_m,True_Max_m,True_Mean_m,True_Std_m,Test_RMSE_m
X,17.4767,81.4212,49.8335,19.0339,10.1754,89.9650,51.2354,23.0729,12.6311
Y,12.9421,84.6197,50.3458,22.6638,10.0370,89.9704,49.6340,23.3916,9.0175
Z,1.3005,7.1150,2.2915,0.6131,1.5010,2.9996,2.2589,0.4528,0.7797
Overall_3D,-,-,-,-,-,-,-,-,15.5393
